merchant_id,account_name,account_type,sector,mcc,account_owner,account_status,activated_date,country,referral_source,mcc_code,converted,activate_year,activate_month
157505,ELI'S LIQUORS,Bar / Lounge,Retail,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Marko Lambaldo,Activated,2025-04-28,Tanzania,Bank Referral,5813.0,1,2025.0,4.0
157490,Tapparfum East Africa,Beauty Shop/Supplies,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Mutie,Finalized,2025-04-24,Kenya,Bank Referral,5399.0,1,2025.0,4.0
157299,MARINE ADVENTURES,Diving/Water Sports,Retail,1234- Archived MIDs Come here-Do NOT ASSIGN,Allen Shilinde,Activated,2025-04-28,Tanzania,Bank Referral,1234.0,1,2025.0,4.0
157497,Western Ways Big Five Safaris,E-Commerce,E-Commerce,4722- Travel Agencies Tour Operators,Janet Lenakae,Finalized,2025-04-30,Kenya,Self Search,4722.0,1,2025.0,4.0
156962,Early Trails Expedition Ltd,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Jonathan Ssempa,Finalized,2025-04-28,Uganda,Landing Page,4722.0,1,2025.0,4.0
157489,GK SAFE TRAVELS LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Sharon Munguryek,Finalized,2025-06-26,Uganda,Bank Referral,4722.0,1,2025.0,6.0
157469,BLUTECH HUB,Electronics Shop,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Finalized,2025-04-25,Kenya,Self Search,5399.0,1,2025.0,4.0
157653,Peak Audio,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Joseph Mbothu,Finalized,2025-04-28,Kenya,Bank Referral,5399.0,1,2025.0,4.0
155172,MIKUMI CAR RENTAL,Business Not Elsewhere Classified,Hospitality,"5599- Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Calssified)",Marko Lambaldo,Activated,2025-04-28,Tanzania,Self Search,5599.0,1,2025.0,4.0
157481,Sigal Enterprises Limited,"Fashion, Clothes & Accessories",Retail,5399-Miscellaneous General Merchant (Small Retail),Joseph Mbothu,Not Interested / Lost,2025-04-25,Kenya,Bank Referral,5399.0,0,2025.0,4.0
155898,BLUEFLAME ENERGY SOLUTIONS LIMITED,General Service Provider,Hospitality,5399-Miscellaneous General Merchant (Small Retail),Kabuthu Mwangi,Activated,2025-05-05,Kenya,Self Search,5399.0,1,2025.0,5.0
